2024-10-22 18:51:44,349 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:51:44,882 - Worker-0 - INFO - Downloaded https://ics.uci.edu/happening/news/?filter%5Bunits%5D=19, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:42,376 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe__ecp_custom_46%5B0%5D=Statistics, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:43,109 - Worker-0 - INFO - Downloaded https://ics.uci.edu/academics/graduate-fellowships-funding, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:43,706 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/medtech-innovation-hackathon, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:44,294 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:49,007 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-software-information-session-1203, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:49,593 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-admissions, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:50,214 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-computer-science-information-session-3, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:50,794 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-computer-science-information-session-3/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:53:56,394 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-admissions/month, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:01,146 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-admissions/day/2024-10-09, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:05,825 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-admissions/day/2024-10-08, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:10,496 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/graduate-admissions/week/2024-10-08, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:11,211 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/2024-10-09, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:16,923 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/month/2024-10, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:17,651 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/2024-10-26, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:18,246 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/week/2024-10-26, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:18,866 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/week/2024-10-28, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:19,483 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/week/2024-11-04, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:24,177 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-11-04, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:24,802 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:29,525 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:34,207 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:38,909 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/4th-annual-ics-project-expo, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:41,516 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/4th-annual-ics-project-expo/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:46,073 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/incentives-and-expressiveness-in-multi-winner-approval-based-elections, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:46,658 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/category/department-seminars, status <601>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:49,205 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/incentives-and-expressiveness-in-multi-winner-approval-based-elections/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:49,821 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/ai-meets-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:50,401 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/ai-meets-software-engineering/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:51,003 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/learning-latent-graphs-from-stationary-signals, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:51,575 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/learning-latent-graphs-from-stationary-signals/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:52,088 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/uci-statistics-state-of-the-department-2024, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:52,655 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/uci-statistics-state-of-the-department-2024/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:57,202 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/enhance-dont-replace-a-recipe-for-success-in-data-tooling, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:54:59,786 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/enhance-dont-replace-a-recipe-for-success-in-data-tooling/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:04,367 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=2, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:07,996 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/2/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-23, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:12,629 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-23, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:17,294 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=2&eventDate=2024-10-23, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:20,998 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/3/?tribe-bar-date=2024-10-23, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:21,615 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-computer-science-information-session-0103, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:22,175 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-computer-science-information-session-0103/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:22,715 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-software-engineering-information-session-0206, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:23,274 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-software-engineering-information-session-0206/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:23,819 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-human-computer-interaction-design-12-17, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:24,378 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-human-computer-interaction-design-12-17/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:24,921 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-human-computer-interaction-design-02-11, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:55:25,484 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/master-of-human-computer-interaction-design-02-11/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
